Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
07 Extracción de minerales metálicos;Total consumos energéticos;2019;56.881
07 Extracción de minerales metálicos;Total consumos energéticos;2017;50.684
07 Extracción de minerales metálicos;Total consumos energéticos;2015;34.198
071 Extracción de minerales de hierro;Electricidad;2022;.
071 Extracción de minerales de hierro;Electricidad;2021;.
071 Extracción de minerales de hierro;Electricidad;2019;..
071 Extracción de minerales de hierro;Electricidad;2017;..
071 Extracción de minerales de hierro;Electricidad;2015;..
071 Extracción de minerales de hierro;Gas;2022;.
071 Extracción de minerales de hierro;Gas;2021;.
071 Extracción de minerales de hierro;Gas;2019;..
071 Extracción de minerales de hierro;Gas;2017;..
071 Extracción de minerales de hierro;Gas;2015;..
071 Extracción de minerales de hierro;Gasóleo;2022;.
071 Extracción de minerales de hierro;Gasóleo;2021;.
071 Extracción de minerales de hierro;Gasóleo;2019;..
071 Extracción de minerales de hierro;Gasóleo;2017;..
071 Extracción de minerales de hierro;Gasóleo;2015;..
071 Extracción de minerales de hierro;Fueloil;2022;.
071 Extracción de minerales de hierro;Fueloil;2021;.
071 Extracción de minerales de hierro;Fueloil;2019;..
071 Extracción de minerales de hierro;Fueloil;2017;..
071 Extracción de minerales de hierro;Fueloil;2015;..
071 Extracción de minerales de hierro;Otros productos petrolíferos;2022;.
071 Extracción de minerales de hierro;Otros productos petrolíferos;2021;.
071 Extracción de minerales de hierro;Otros productos petrolíferos;2019;..
071 Extracción de minerales de hierro;Otros productos petrolíferos;2017;..
071 Extracción de minerales de hierro;Otros productos petrolíferos;2015;..
071 Extracción de minerales de hierro;Carbón y coque;2022;.
071 Extracción de minerales de hierro;Carbón y coque;2021;.
071 Extracción de minerales de hierro;Carbón y coque;2019;..
071 Extracción de minerales de hierro;Carbón y coque;2017;..
071 Extracción de minerales de hierro;Carbón y coque;2015;..
071 Extracción de minerales de hierro;Biocombustibles;2022;.
071 Extracción de minerales de hierro;Biocombustibles;2021;.
071 Extracción de minerales de hierro;Biocombustibles;2019;..
071 Extracción de minerales de hierro;Biocombustibles;2017;..
071 Extracción de minerales de hierro;Biocombustibles;2015;..
071 Extracción de minerales de hierro;Calor y otros consumos energéticos;2022;.
071 Extracción de minerales de hierro;Calor y otros consumos energéticos;2021;.
071 Extracción de minerales de hierro;Calor y otros consumos energéticos;2019;..
071 Extracción de minerales de hierro;Calor y otros consumos energéticos;2017;..
071 Extracción de minerales de hierro;Calor y otros consumos energéticos;2015;..
071 Extracción de minerales de hierro;Total consumos energéticos;2022;.
071 Extracción de minerales de hierro;Total consumos energéticos;2021;.
071 Extracción de minerales de hierro;Total consumos energéticos;2019;..
071 Extracción de minerales de hierro;Total consumos energéticos;2017;..
071 Extracción de minerales de hierro;Total consumos energéticos;2015;..
072 Extracción de minerales metálicos no férreos;Electricidad;2022;.
072 Extracción de minerales metálicos no férreos;Electricidad;2021;.
072 Extracción de minerales metálicos no férreos;Electricidad;2019;..
072 Extracción de minerales metálicos no férreos;Electricidad;2017;..
072 Extracción de minerales metálicos no férreos;Electricidad;2015;..
072 Extracción de minerales metálicos no férreos;Gas;2022;.
072 Extracción de minerales metálicos no férreos;Gas;2021;.
072 Extracción de minerales metálicos no férreos;Gas;2019;..
072 Extracción de minerales metálicos no férreos;Gas;2017;..
072 Extracción de minerales metálicos no férreos;Gas;2015;..
072 Extracción de minerales metálicos no férreos;Gasóleo;2022;.
072 Extracción de minerales metálicos no férreos;Gasóleo;2021;.
072 Extracción de minerales metálicos no férreos;Gasóleo;2019;..
072 Extracción de minerales metálicos no férreos;Gasóleo;2017;..
